1,som et elskende par som slåss for kjærlighetenemily blunt er i utgangspunktet god som freya men rollefigurens konfliktfylte indre blir aldri utforsket nok til at hun blir en spesielt interessant figur charlize theron er på sin side strålende som alltid og ravennas garderobe og magiske evner er virkelig spektakulæreet ordinært eventyrdet blir ikke noe skikkelig snøhviteventyr uten dverger men denne gangen må vi nøye oss med fire nick frost repriserer sin rolle fra den første filmen og får denne gangen selskap av rob brydon alexandra roach og sheridan smithdvergene er filmens komiske alibi og bidrar med tørre men vittige kommentarer og god komisk timingsamspillet mellom frekkasene brydon og smith er spesielt artig og de fikk meg til å fnise fornøyd flere gangerde artige dvergene klarer imidlertid ikke å heve the huntsman winter’s war til de store høydenedette er kun et helt ordinært eventyr som er visuelt flott men som aldri skaper virkelig magi i kinomørket
1,ly bluntvi snakker en ytterst gjennomført gull sølv og isbelagt type oppfølger av en tre år gammel rimelig suksess som dog ble mest kjent for at daværende huntsman kristen stewart hadde en affære med daværende regissør rupert sandersdette er et snøhviteventyr komplett uten snøhvit men med tilsiktet grimmere eventyrstil og tone som de tidvis fæle eventyrsamlerne brødrene grimm gjerne skrev demfilmen beviser godt og grundig hvordan kulisser kostymer og dataanimering kan ta fullstendig luven fra enhver fornuftig historie dronningsøstrene ravenna og freya behersker sine land med umåtelig forfengelighet ren ondskap og fiks faenskap mot dem skal de menneskeligere krigsslavene the huntsmen fremstille mykere egenskaper og verdier og om mulig kjærlighetdet blir kliss tull forvirring og omtrentlige usannsynligheter – alt tilpasset de dataanimerte mulighetenelavmålet er for øvrig en serie utsøkt kleine dvergvitser – fremført av dem vi egentlig skulle likeo elendighet
6,han selv også våger å tro det er også nærliggende å tro at det grå håret og den lettere arrogante holdningen kanskje er inspirert av kjendisforfatteren knausgård det fungerer i alle fall supertles anmeldelsen filmens nerve er i samspillet mellom antonsen og den unge debutanten håkon bøhmer noah er den perfekte blanding av en irriterende og sjarmerende ungegrand hotel er ikke en film for de store dramatiske følelsene selv om temaet er dødsens alvorlig noen vil kanskje påstå at den er for lavmælt og mangler en intens dramatisk nervevil du ha det store følelsesdramaet kan nok det stemme det som gjør den annerledes er den melankolske og usentimentale tonen de fine personskildringene og den lune humorenfrölich skildrer forholdet mellom to fortapte sjeler – et ungt mobbeoffer og mannen med dødsangst – begge trenger de sårt et annet menneske som kan forstå dem grand hotel er sart nyansert vakkert fotografert godt spilt ja det er enkelt og greit en veldig fin film
1, glemmer det viktigste å fortelle en god historie det som kunne blitt en real «bitchfight» mellom to onde dronninger fisler bort problemet er at historien til de to som er de egentlige heltene er uengasjerende men de skal ha pluss for at damene er tøffe det hjelper heller ikke at kjemien mellom hemsworth og chastain er ikkeeksisterendemånedens film på cinemateket flere regissører har vært involvert i filmen noe som kan forklare hvorfor historien spriker det er ingen unnskyldning for mangelen på varme og humor det er dvergene som sørger for at du av og til trekker på smilebåndet sheridan smith redder mye som frekke mrs bromwyndet er trist at resultatet er så grått kjedelig og uengasjerende av og til trenger vi eskapisme og romantikk vi kan drømme oss bort i resirkulering av gamle eventyr bør herved stanses hvis hollywood absolutt må anbefaler jeg at produsentene ser tvserien the 10th kingdom 2000 for en leksjon i hvor magisk absurd og morsomt det kan gjøres
6,en til dels temmelig alvorlige kirken har sendt dem bort for å gjøre bot noe de forsøker men de holder seg også med noen adspredelser som alkohol og en hund som tjener penger på veddeløp etter en dramatisk hendelse kommer en femte prest inn i det gule huset han er utsendt fra kirken for å kartlegge situasjonen og rydde oppmånedens film på cinemateket resultatet er et briljant lite kammerdrama hvor religion og seksualitet og det som var og det som er og livets grunnleggende og fortvilende brutalitet forenes i en trykkoker filmen operer med en del nære bilder hvor ansiktene i seg selv får tid og plass og selv om skuespillet er solid over hele linjen er padre garcia marcelo alonso og madre monica antonia zegers spesielt godt egnet for rollene sine for oss ateister er filmen en påminnelse om at religionene fortsetter å inspirere kunstnere til å lage solide verk og at det tross alt på en eller annen skrudd måte er med på å rettferdiggjøre religionenes eksistens
1,ids togreise uten at det heller utdypes eller settes i noen meningsfull sammenhengles anmeldelsen gallerifilmjeg er ingen motstander av at såkalt gallerifilm vises på kino  som for tiden også er aktuell på cinemateket er blant dem som har lykkes med det men istedenfor å utforske kinoformatet eller tilføre det noe nytt henfaller aitken til konvensjonelle musikkvideosekvenser som hver for seg er flotte å se på men som hekter oss av toget før vi har kommet ordentlig pådet er som sagt mulig at aitken bare bruker disse kjente og mindre kjente personene som brikker i et større puslespill – at filmen er et kunstprosjekt som er ment å bare gi oss fragmenter eller kanskje utfordre kinobransjens formater om han utløser debatt så har han kanskje oppnådd noe men så langt kan jeg ikke se at det er tilfelle noen glimt tar jeg likevel med meg videre med glede – det er tross alt ikke hver dag du ser giorgio moroder sitte sammenkrøpet og spille i en togvognles anmeldelsen 
6,dre figurer for å gi den et visst menneskelig aspektsharlto copley kjent fra district 9 og elysium er morsom som jimmy en rolle som gir copley muligheter til å gjøre forskjellige ting uten å avsløre det her han tilfører svart morbid humor som filmen sårt trenger danila kozlovsky gjør også en benedict cumberbatchlignende bad guyfigur som er akkurat passe overdreven og utagerende i en slik type film det eneste spørsmålstegnet er hva tim roth gjør i noen flashbackscener som gir liten meninghardcore er alt annet enn subtil ilya naishuller og produsent timur bekmabetov nightwatch daywatch pøser på med blodige actionscener i en vill farther er det ingen hvile å få ingen dødpunkter og maksimal fremdrift og hastighet tre kameramenn har vært i sving med mobilt goproutstyr som gir effektiv action samtidig som man kan risikere å bli litt sjøsyk av de ustabile bildene det er verdt det for hardcore er en skikkelig tøff actionfilm som for all del ikke må tas for seriøst
6,tfullt tonefølge og publikum blir sittende med en følelse av avmakt over figurenes feige kamp for å redde egne skinnspennende formgrepregissør pablo larraín no post mortem og hans faste fotograf sergio armstrong bruker kontrastløse bilder med utvasket fargepallett som signaliserer den grå og fargeløse tilværelsen som beboerne lever idette uvante billedspråket gir også en illevarslende følelse av at noe skurrer under den tilsynelatende harmoniske overflaten noe man raskt får en bekreftelse på det gir atmosfæren en ukomfortabel stemning og er et spennende grep som definitivt setter et sterkt preg på filmenel club etterlater meg med en vond følelse på vegne av flere av figurene i filmentil tross for sin prestelige opphøydhet blir de avkledd som patetiske undermålere som lever på løgn og bedrag pablo larraín har laget et sterkt drama som gir grunnlag for mang en diskusjon om den katolske kirkens mørke siderel club er et svært solid og vektig innlegg i debatten
1,lles dette vet regissør kiil mye omkvalitetene i «huset» er mange foto imponerer lyd og musikk er øredøvende effektive og helt avgjørende for fremdriften skuespillerne gode omgivelsene angstridd mørkredde så det er mye å glede seg over og all mulig grunn til å skvette i stolen både titt og ofteet par bitte små og et stort problem dog djevelen sitter så å si i detaljene så når en av de tyske soldatene kaller motstandsmannen «schwein» skal det åpenbart oversettes med «svin» ikke «gris» dessuten midt i en fryktelig skummel kjellernedgang dukker det sannelig opp en alt for moderne lysbryter – i en ellers prikkfri scenografi småproblemerverre da når filmen etter hvert starter sin lek med tidsperspektivet det er filmens kanskje originaleste moment synd da at i stede for effektivt å dra teppet under beina på publikum oppstår det stort sett forvirring det blir faktisk en fundamental svakhet med hele prosjektetjon selås«huset» får norsk kinopremiere fredag 15 april
1,ktjakt som varer resten av filmen og hvor en mystisk engelskmann med mange fargerike identiteter spiller en sentral rollefor oss som har spilt en del førsteperson skytespill er det mye som er gjenkjennelig her for regissør og manusforfatter ilya naishuller har lånt friskt fra spillmediet det føles etter forholdsvis kort tid som å sitte og se på at noen spiller et dataspill med usedvanlig god grafikk vedkommende spiller er riktignok så dyktig at hun ikke blir nødt til å ta noen ting som helst om igjen men det er likevel grenser for hvor lenge det er interessant å se på et spill uten å få lov til å delta selv vinglete kameraføring og flimrete bilder gjør den visuelle opplevelsen noe anstrengendepå plusssiden kan det nevnes at det mellom alle de stressende actionsekvensene krydres med en del velplassert svart humor og et par virkelig løgne karakterer det er dessverre ikke nok til å forhindre at kjedsomheten slår inn med full styrke før det er gått en halvtime
